model,class,threshold,tp,tn,fp,fn,accuracy,precision,recall,historical_recall_formula,f1
000,0,140.83183183183183,873,7809,219,19,0.9733183856502242,0.7994505494505495,0.9786995515695067,0.11152273888605008,0.8800403225806451
000,1,140.55255255255256,868,7923,105,24,0.9855381165919282,0.8920863309352518,0.9730941704035875,0.10922360639234932,0.9308310991957105
000,2,140.76776776776777,832,7540,488,60,0.9385650224215246,0.6303030303030303,0.9327354260089686,0.10947368421052632,0.7522603978300181
000,3,140.33633633633633,848,7568,460,44,0.9434977578475336,0.6483180428134556,0.9506726457399103,0.11140304781923278,0.7709090909090909
000,4,141.8148148148148,846,7656,372,46,0.9531390134529149,0.6945812807881774,0.9484304932735426,0.1098415995845235,0.8018957345971564
000,5,142.6826826826827,821,7556,472,71,0.9391255605381166,0.6349574632637278,0.9204035874439462,0.10764389668283729,0.751487414187643
000,6,140.85185185185185,861,7756,272,31,0.9660313901345291,0.7599293909973521,0.9652466367713004,0.1105688968794144,0.8503703703703703
000,7,141.71771771771773,836,7721,307,56,0.959304932735426,0.731408573928259,0.9372197309417041,0.1074964639321075,0.8216216216216217
000,8,139.16716716716718,796,7335,693,96,0.9115470852017937,0.5345869711215581,0.8923766816143498,0.10711882653747813,0.6686266274674506
000,9,142.81081081081084,831,7397,631,61,0.9224215246636771,0.5683994528043775,0.9316143497757847,0.11142397425583267,0.7060322854715378
001,0,135.27027027027026,869,7825,203,23,0.9746636771300449,0.8106343283582089,0.9742152466367713,0.11072884811416922,0.884928716904277
001,1,139.1141141141141,870,7926,102,22,0.9860986547085202,0.8950617283950617,0.9753363228699552,0.10946149974836437,0.9334763948497854
001,2,138.96496496496496,835,7542,486,57,0.9391255605381166,0.6320968962906889,0.9360986547085202,0.10988287932622713,0.7546317216448261
001,3,136.55555555555554,850,7479,549,42,0.9337443946188341,0.6075768406004288,0.952914798206278,0.11301688605238665,0.7420340462680053
001,4,138.45545545545545,850,7533,495,42,0.9397982062780269,0.6319702602230484,0.952914798206278,0.11221122112211221,0.7599463567277603
001,5,137.3103103103103,817,7484,544,75,0.9306053811659193,0.6002939015429831,0.9159192825112108,0.10808307977245668,0.7252552152685309
001,6,137.87687687687688,861,7745,283,31,0.9647982062780269,0.7526223776223776,0.9652466367713004,0.11072530864197531,0.8457760314341847
001,7,140.79779779779778,832,7759,269,60,0.9631165919282512,0.7556766575840145,0.9327354260089686,0.1064074689858038,0.8349222277972905
001,8,136.34334334334335,809,7285,743,83,0.9073991031390135,0.5212628865979382,0.9069506726457399,0.10979913137893593,0.6620294599018003
001,9,139.81181181181182,822,7343,685,70,0.9153587443946188,0.5454545454545454,0.92152466367713,0.11088628085795224,0.68528553563985
002,0,139.8858858858859,868,7754,274,24,0.9665919282511211,0.7600700525394045,0.9730941704035875,0.11159681151967087,0.8534906588003933
002,1,140.86186186186185,869,7921,107,23,0.9854260089686099,0.8903688524590164,0.9742152466367713,0.10939073514602216,0.930406852248394
002,2,141.05205205205203,831,7556,472,61,0.9402466367713005,0.6377590176515733,0.9316143497757847,0.10909807010634108,0.7571753986332574
002,3,141.72272272272272,856,7546,482,36,0.9419282511210763,0.6397608370702541,0.9596412556053812,0.1128989712476919,0.7677130044843049
002,4,139.05405405405406,846,7639,389,46,0.9512331838565022,0.6850202429149798,0.9484304932735426,0.11008458035133377,0.7954866008462623
002,5,141.5285285285285,816,7456,572,76,0.9273542600896861,0.5878962536023055,0.9147982062780269,0.10833775889537971,0.7157894736842105
002,6,142.6216216216216,861,7768,260,31,0.9673766816143498,0.768064228367529,0.9652466367713004,0.11039876907295808,0.8554396423248882
002,7,142.66666666666666,841,7731,297,51,0.9609865470852018,0.7390158172231986,0.9428251121076233,0.10806990490876381,0.8285714285714286
002,8,142.20420420420422,799,7179,849,93,0.8943946188340807,0.4848300970873786,0.8957399103139013,0.10987348734873488,0.6291338582677165
002,9,143.16016016016016,822,7417,611,70,0.9236547085201794,0.5736217725052338,0.92152466367713,0.10979030319219982,0.7070967741935484
003,0,138.6096096096096,863,7807,221,29,0.9719730941704036,0.7961254612546126,0.9674887892376681,0.11013272077590608,0.8734817813765182
003,1,141.13913913913916,870,7935,93,22,0.9871076233183856,0.9034267912772586,0.9753363228699552,0.10933769008420259,0.9380053908355795
003,2,141.56356356356355,832,7617,411,60,0.9471973094170404,0.66934835076428,0.9327354260089686,0.10837566757848117,0.7793911007025761
003,3,139.92792792792793,846,7522,506,46,0.9381165919282511,0.6257396449704142,0.9484304932735426,0.11178646934460888,0.7540106951871658
003,4,139.13113113113113,843,7642,386,49,0.9512331838565022,0.6859235150528885,0.945067264573991,0.10960863346768951,0.7949080622347949
003,5,138.25325325325326,821,7514,514,71,0.9344170403587444,0.6149812734082397,0.9204035874439462,0.10823994726433751,0.7373147732375392
003,6,139.11511511511512,862,7762,266,30,0.9668161434977578,0.7641843971631206,0.9663677130044843,0.11062628336755646,0.8534653465346534
003,7,139.66866866866866,832,7720,308,60,0.9587443946188341,0.7298245614035088,0.9327354260089686,0.10694087403598972,0.8188976377952756
003,8,137.8858858858859,808,7222,806,84,0.9002242152466368,0.5006195786864932,0.905829596412556,0.11059403230221736,0.644852354349561
003,9,140.6936936936937,818,7314,714,74,0.9116591928251121,0.5339425587467362,0.9170403587443946,0.11072008662696264,0.6749174917491749
