path,archive_kind,bytes,sha256,parse_status,parse_error,nbformat,kernel_name,kernel_display_name,cells,code_cells,executed_code_cells,code_cells_with_outputs
artifacts/raw/orange_skeptic/notebooks/MNIST-DIFFLOGIC/MnistTrainer.ipynb,raw,609399,afb034bf093a2dd41ca58632e14638554b507401148fd26065803a213df5afdb,valid-json,,4,difflogic_env,DIFFLOGIC,47,23,17,10
artifacts/raw/orange_skeptic/notebooks/MNIST-DIFFLOGIC/config/csv_to_yaml_mnist.ipynb,raw,3181,7c770310a07ca700c74ead8d8bbb7000ddb5dd50aabfea0a5fa88189b32d0007,valid-json,,4,difflogic_env,DIFFLOGIC,1,1,1,1
artifacts/raw/orange_skeptic/notebooks/OTHER/TestingGraphs.ipynb,raw,211477,af7263928eb63f71fd8eb9dd1eee651e129ce80b219e133b37428029f0781879,valid-json,,4,difflogic_env,DIFFLOGIC,10,8,7,5
artifacts/raw/orange_skeptic/notebooks/OTHER/requirements/other/DiffLogicClassBACKUP.ipynb,raw,29818,7d080e92978545968c241aba2fbe7c392767aa410641607131627b9c05561bcc,valid-json,,4,difflogic_env,DIFFLOGIC,16,8,6,0
artifacts/raw/orange_skeptic/notebooks/SKEPTIC/SkepticTrainer.ipynb,raw,703535,f62067783f977bde92b8f16a23b497784dd698ed0aa24ad9ce708553d36339ba,valid-json,,4,difflogic_env,DIFFLOGIC,33,18,18,11
artifacts/raw/orange_skeptic/notebooks/SKEPTIC/config/csv_to_yaml_skeptic.ipynb,raw,3414,ad0ff3824b94aae8ea1dee80a343eb475d81a876ddd4be7703b4efac8e10e9df,valid-json,,4,difflogic_env,DIFFLOGIC,2,1,1,1
artifacts/raw/orange_skeptic/notebooks/SkepticWorkflowConfig.ipynb,raw,124974,8261538e5945af20554463b19ced4f9bdf3c2a2fddbff5fbb087fef8fd7815cd,valid-json,,4,difflogic_env,DIFFLOGIC,74,45,43,22
artifacts/raw/orange_skeptic/notebooks/SkepticWorkflowNotebook.ipynb,raw,171902,13f95c6b3bda81e02df10b1f1803d41f0410d19bbcea2f9fad96e3fb9ba10ecb,valid-json,,4,difflogic_env,DIFFLOGIC,75,46,44,26
artifacts/raw/orange_thesis/notebooks/Main.ipynb,raw,247844,85fad630a097de3c1c2389c187b417239755eb3438e34a924cbba9eeb7b645c1,valid-json,,4,explogic_env,EXPLOGIC,104,61,56,24
artifacts/raw/orange_thesis/notebooks/MainExperiments.ipynb,raw,14819,1aba9260468407ace6a8e917f54543f90db5385305408b19b1c746c337c3a58d,valid-json,,4,explogic_env,EXPLOGIC,5,5,2,1
artifacts/raw/orange_thesis/notebooks/OldMain.ipynb,raw,318863,d2cb018e05c01208d9488eb6795234d2b36c5100a939dcfe6480b7e3d5ecc51a,valid-json,,4,difflogic_env,ExpLogic,84,45,25,17
artifacts/raw/orange_thesis/notebooks/StephenMain.ipynb,raw,753814,ddce203de6f5c2052ce5864ce3e2b547125360582251ec2ece00c039eb409321,valid-json,,4,explogic_env,EXPLOGIC,134,79,70,33
artifacts/raw/orange_thesis/notebooks/Untitled.ipynb,raw,82978,5d625c969ff564435ee2199e7fb0e0893748576e0ca24e462e598db90f2c4ba0,valid-json,,4,difflogic_env,ExpLogic,28,20,18,9
artifacts/raw/orange_visualizer/notebooks/model-training/LogoIdeation.ipynb,raw,18406146,fdce1b6e3ca06f4d9c9247abcd6f1c55c1ff557758545753894b29df83279b18,invalid-notebook,JSONDecodeError,,,,0,0,0,0
artifacts/raw/orange_visualizer/notebooks/model-training/cpu_difflogic.ipynb,raw,63768,dc8695e5910d6631adcda7abda7019408c09584d2127e0a5cf1d9f9a8e8a08e4,valid-json,,4,explogic_env,EXPLOGIC,28,15,15,7
artifacts/raw/orange_visualizer/notebooks/model-training/train_main.ipynb,raw,375306,5b751f7da187244a6c45ac71640507283775f9678b2a426b85c44764f545b25e,valid-json,,4,explogic_env,EXPLOGIC,34,22,22,13
artifacts/sanitized/orange_visualizer/LogoIdeation.ipynb,sanitized,34134081,762fe7c7ed1ce4dcfea2e654ef77c0b0a8d8b2af32cbd8b694229296c1a43390,valid-json,,4,logos_env,Logo Creation Kernel,37,25,22,16
