local_path,bytes,sha256,origin_host,original_path,provenance,publication_status,acquired
artifacts/raw/orange_diff/source/requirements.txt,2903,3c5d9a88e1a05b803521cfee0364f6b8f706982fa4bcd2cdb64130516cb6761a,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/DIFFLOGIC/requirements.txt,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_eco/notebooks/Main.ipynb,689813,65f89f95c8b17d4216baa5f36d8a25e032ee5aadf15b48ed3cb85dec1c1785d0,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/ECOLOGIC/Main.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/notebooks/Analysis.ipynb,341325,f67b3854da2ee1b4a282ee7a264d46c496463347a4aca5d476cae5b64369b157,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/Analysis.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/notebooks/DecisionBoundary_wormald.ipynb,1700400,7e1daa5df9de3486fe0f91eb295fc2ef7ad0a76b730a5bef3076aae7ecd1a0fa,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/DecisionBoundary_wormald.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/notebooks/DiffLogicSwitchingProbability_wormald.ipynb,1310054,2b87fa34b13dd1f88b7700374d16840bf4b31f40dbfdd3e4ff1d98c2ca42467c,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/DiffLogicSwitchingProbability_wormald.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/notebooks/DiffLogicTrainer.ipynb,2320503,cb574da9364a50a3cf3837902f202104557b4955e2fec3672e19b53add433ae9,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/DiffLogicTrainer.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/notebooks/Main.ipynb,755788,9bfc1d80f81ab4e36061a2f647dfa349b8bbd249874717627b4d852c86330d76,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/Main.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/notebooks/TestMain.ipynb,603603,7fb74ab5c9b637cb00b85812c7b3ffa4a9f2928cf68bc0ca3d868097b037afa4,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/TestMain.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/notebooks/config/csv_to_yaml_mnist.ipynb,3770,705fc349b63ab615239b751a1c740cb03e610f89027a67c8cf466d861f219dca,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/config/csv_to_yaml_mnist.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/README.md,2327,37fcde894a0ae93067b6b31cc6341982848b917f183c82b623c21864baeb0773,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/README.md,author-controlled project archive,owner-controlled,2026-09-16
