restricted_path,bytes,sha256,origin_host,original_path,owner,group,mode,preservation_repository,publication_status
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/Class_Prototypes.ipynb,4227234,020e56fa4aec116301b34de667635f63a27165a46c737860a208397b67b06085,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/Class_Prototypes.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/DecisionBoundary_wormald.ipynb,1700397,f8977645b21a36ef3cf5e0c8e04fdb0334965360f87bff274ef6220f38dc59bd,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/DecisionBoundary_wormald.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/DiffLogicSwitchingProbability_wormald-ciphar.ipynb,2764738,a3c8dc20ab198e258cce1c22f2ae18e3add24caf31c72e62f0f5e70c8be05708,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/DiffLogicSwitchingProbability_wormald-ciphar.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/DiffLogicSwitchingProbability_wormald.ipynb,1311195,fba736730fe339e4e6acff26756881db5155f60797d6ff3ff4fb4e507ba0a848,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/DiffLogicSwitchingProbability_wormald.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/DiffLogicTrainer.ipynb,1435762,1c7d5c8a987e66579382ee86b447c7068e5648ea4c1232c346eff24ffb6ebf97,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/DiffLogicTrainer.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/Main.ipynb,678227,07021a8ea38ad51531843074412e7f9df89bdd618286fc5d3d4e9c8fc3350443,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/Main.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/MiniNets_wormald.ipynb,649369,45007a6e35f9c3ce698158937423a9f507cd15f8057d07d59c19b858c9d7a40b,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/MiniNets_wormald.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/MiniNets_wormald_09.31.24.ipynb,453062,025f5b957b482fa30bdb42faa9b520d54397cda599099aec4e34485a8bd22306,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/MiniNets_wormald_09.31.24.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/MiniNets_wormald_10.14.24.ipynb,470450,03a8a40dcad24f753d762b3ff0735c1017492e566759f5c86f52a8abfad4b488,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/MiniNets_wormald_10.14.24.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/MiniNets_wormald_10.31.24.ipynb,97720,c5c2d18e14ab35d0dd7e18fa75454b6588682a8f89c7e2a2b275fcf397c4d9d1,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/MiniNets_wormald_10.31.24.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/DIFFLOGIC/config/csv_to_yaml_mnist.ipynb,3652,db06a73a69f552f225441b9063a2ad4a81a45abd6813e49241654c7aca041408,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/DIFFLOGIC/config/csv_to_yaml_mnist.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/Main.ipynb,736380,d595b2bce20e04cc03a6e3ea37fc58bb83802c7c2e5b2ba28090db8cf5226946,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/Main.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/MiniNets_wormald_09.31.24.ipynb,597877,727ff96242e0293989e374815113b2aa2dbcbfa7a4a2ceb9c502bf5852e537a5,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/MiniNets_wormald_09.31.24.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/Timing.ipynb,448502,6ace667d310029630e32b3b71b9d30db24fe8d81fd48ca4bbc1495b2ca44b039,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/Timing.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
artifacts/raw/blue_explogic/notebooks/config/csv_to_yaml_mnist.ipynb,3770,705fc349b63ab615239b751a1c740cb03e610f89027a67c8cf466d861f219dca,HiPerGator,/blue/woodard/stephen.wormald/project/DiffLogic/0_eXpLogic/config/csv_to_yaml_mnist.ipynb,stephen.wormald,woodard,0644,matheusmaldaner/UndergradThesisRestrictedArchive (private),restricted-pending-permission
