Nodes ,AR,H,W,tau,lr
50000,0.0125,25,2000,30,0.1
50000,0.05,50,1000,30,0.1
10000,0.0001,1,10000,30,0.1
10000,0.0004,2,5000,30,0.1
10000,0.0025,5,2000,30,0.1
10000,0.01,10,1000,30,0.1
10000,0.0256,16,625,30,0.1
5000,0.0002,1,5000,30,0.1
5000,0.0008,2,2500,30,0.1
5000,0.0032,4,1250,30,0.1
5000,0.005,5,1000,30,0.1
5000,0.0128,8,625,30,0.1
